pair_folder,method,kp1,kp2,good_matches,runtime_ms,pred(1=same),actual(1=same)
different_1,ORB,1442,1354,11,146.25,0,0
different_10,ORB,1442,1417,17,11.14,0,0
different_2,ORB,1451,1444,4,10.35,0,0
different_3,ORB,1430,1445,2,10.72,0,0
different_4,ORB,1421,1444,8,10.67,0,0
different_5,ORB,1354,1431,4,9.51,0,0
different_6,ORB,1374,1362,0,9.41,0,0
different_7,ORB,1434,1431,7,10.40,0,0
different_8,ORB,1422,1437,12,10.51,0,0
different_9,ORB,1422,1431,18,9.71,0,0
same_1,ORB,1442,1419,73,14.27,1,1
same_10,ORB,1417,1413,52,14.45,1,1
same_2,ORB,1354,1391,27,10.33,1,1
same_3,ORB,1451,1403,20,11.42,1,1
same_4,ORB,1444,1430,19,11.01,0,1
same_5,ORB,1445,1370,42,11.79,1,1
same_6,ORB,1428,1434,30,12.67,1,1
same_7,ORB,1421,1419,20,12.74,1,1
same_8,ORB,1431,1435,69,11.20,1,1
same_9,ORB,1434,1434,20,15.37,1,1
